gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2710195383	429	29.06	6	429	1	432	8.0e-72	264	COG0612	Predicted Zn-dependent peptidase	438
2710195384	424	27.03	13	417	25	423	1.0e-50	194	COG0612	Predicted Zn-dependent peptidase	438
2710195385	319	46.98	3	317	3	303	1.0e-73	270	COG1079	ABC-type uncharacterized transport system, permease component	304
2710195386	349	49.72	1	347	8	354	7.0e-82	297	COG4603	ABC-type uncharacterized transport system, permease component	356
2710195387	511	62.48	1	499	1	501	0.0e+00	722	COG3845	ABC-type uncharacterized transport system, ATPase component	501
2710195388	364	41.32	2	362	1	345	2.0e-76	279	COG1744	Basic membrane lipoprotein Med, periplasmic binding protein (PBP1-ABC) superfamily	345
2710195389	241	33.9	3	236	1	234	4.0e-51	194	COG2188	DNA-binding transcriptional regulator, GntR family	236
2710195390	787	31.49	3	781	15	856	0.0e+00	494	COG1674	DNA segregation ATPase FtsK/SpoIIIE and related proteins	858
2710195392	251	22.7	50	232	30	198	2.0e-29	123	COG0740	ATP-dependent protease ClpP, protease subunit	200
2710195393	556	52.35	4	554	3	555	0.0e+00	632	COG0595	mRNA degradation ribonuclease J1/J2	555
2710195394	290	51.77	3	282	5	286	5.0e-93	334	COG0329	Dihydrodipicolinate synthase/N-acetylneuraminate lyase	299
2710195395	412	37.77	1	403	1	447	2.0e-96	346	COG0527	Aspartokinase	447
2710195396	348	52.62	5	342	1	334	8.0e-115	406	COG0136	Aspartate-semialdehyde dehydrogenase	334
2710195397	197	16.59	8	193	98	295	1.0e-07	50	COG0452	Phosphopantothenoylcysteine synthetase/decarboxylase	392
2710195399	77	27.27	1	76	6	81	1.0e-09	54.9	COG1873	Sporulation protein YlmC, PRC-barrel domain family	87
2710195400	413	39.76	2	409	17	436	4.0e-93	335	COG0612	Predicted Zn-dependent peptidase	438
2710195401	334	29.5	70	320	13	265	3.0e-33	135	COG0726	Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	267
2710195402	707	60.86	2	696	1	692	0.0e+00	988	COG1185	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	692
2710195403	89	66.29	1	89	1	89	8.0e-28	115	COG0184	Ribosomal protein S15P/S13E	89
2710195404	316	40	5	314	3	304	1.0e-86	312	COG0196	FAD synthase	304
2710195405	301	38.38	3	298	16	269	4.0e-66	244	COG0130	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	271
2710195406	122	56.9	1	115	3	118	1.0e-32	131	COG0858	Ribosome-binding factor A	118
2710195407	92	54.35	1	92	2	93	2.0e-23	100	COG1550	Uncharacterized conserved protein YlxP, DUF503 family	95
2710195408	725	63.56	225	725	2	506	0.0e+00	697	COG0532	Translation initiation factor IF-2, a GTPase	509
2710195409	100	39.6	1	100	10	110	3.0e-19	86.9	COG1358	Ribosomal protein L7Ae or related RNA K-turn-binding protein	116
2710195410	89	54.65	4	89	3	88	8.0e-21	91.9	COG2740	Predicted RNA-binding protein YlxR, DUF448 family	95
2710195411	377	53.97	156	343	1	183	3.0e-51	195	COG0195	Transcription antitermination factor NusA, contains S1 and KH domains	190
2710195412	156	45.16	1	155	3	153	3.0e-39	154	COG0779	Ribosome maturation factor RimP	153
2710195413	1439	63.78	8	1439	5	1444	0.0e+00	2149	COG2176	DNA polymerase III, alpha subunit (gram-positive type)	1444
2710195414	567	46.02	1	561	1	500	0.0e+00	600	COG0442	Prolyl-tRNA synthetase	500
2710195415	418	35.88	146	418	75	375	6.0e-42	165	COG0750	Membrane-associated protease RseP, regulator of RpoE activity	375
2710195416	381	56.32	3	381	2	380	0.0e+00	532	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase	385
2710195417	260	37.36	1	260	2	261	3.0e-36	145	COG0575	CDP-diglyceride synthetase	265
2710195418	263	54.62	21	258	8	245	1.0e-89	323	COG0020	Undecaprenyl pyrophosphate synthase	245
2710195419	185	61.08	1	185	3	187	1.0e-62	232	COG0233	Ribosome recycling factor	187
2710195420	241	67.65	2	239	1	238	2.0e-97	349	COG0528	Uridylate kinase	238
2710195421	293	55.41	1	293	2	296	4.0e-97	348	COG0264	Translation elongation factor EF-Ts	296
2710195422	235	66.81	1	235	1	234	6.0e-104	369	COG0052	Ribosomal protein S2	252
2710195424	252	37.01	1	252	1	246	5.0e-48	184	COG1191	DNA-directed RNA polymerase specialized sigma subunit	247
2710195425	164	49.06	6	164	9	164	2.0e-45	175	COG1871	Chemotaxis receptor (MCP) glutamine deamidase CheD	164
2710195426	211	39.13	5	211	5	203	6.0e-35	140	COG1776	Chemotaxis protein CheY-P-specific phosphatase CheC	203
2710195427	148	44.76	6	148	13	155	8.0e-31	126	COG0835	Chemotaxis signal transduction protein	165
2710195428	678	42.19	1	678	4	707	0.0e+00	658	COG0643	Chemotaxis protein histidine kinase CheA	716
2710195429	358	48.31	1	353	1	339	1.0e-97	349	COG2201	Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains	350
2710195430	275	36.06	10	275	3	262	4.0e-47	182	COG0455	MinD-like ATPase involved in chromosome partitioning or flagellar assembly	262
2710195431	386	37.78	1	385	1	403	4.0e-75	275	COG1419	Flagellar biosynthesis GTPase FlhF	407
2710195432	678	52.35	1	677	16	695	0.0e+00	846	COG1298	Flagellar biosynthesis pathway, component FlhA	696
2710195433	360	48.73	7	359	1	353	2.0e-114	406	COG1377	Flagellar biosynthesis protein FlhB	363
2710195434	258	37.4	4	256	8	258	6.0e-42	164	COG1684	Flagellar biosynthesis protein FliR	258
2710195435	89	52.81	1	89	1	89	2.0e-18	84.4	COG1987	Flagellar biosynthesis protein FliQ	89
2710195436	221	65.73	9	221	35	247	8.0e-72	263	COG1338	Flagellar biosynthetic protein FliP	248
2710195437	212	21.97	44	174	7	136	3.0e-13	68.4	COG3190	Flagellar biogenesis protein FliO	137
2710195439	386	36.87	36	232	7	203	2.0e-32	133	COG1776	Chemotaxis protein CheY-P-specific phosphatase CheC	203
2710195440	332	45.48	3	332	2	327	2.0e-93	336	COG1868	Flagellar motor switch protein FliM	332
2710195441	141	24.83	2	141	15	159	6.0e-15	73.4	COG1580	Flagellar basal body-associated protein FliL	159
2710195442	409	41.24	1	409	1	423	4.0e-80	291	COG1749	Flagellar hook protein FlgE	423
2710195446	196	19.67	16	194	6	181	3.0e-10	58.9	COG3334	Flagellar motility protein MotE, a chaperone for MotC folding	192
2710195447	148	24.32	1	148	1	148	1.0e-11	62.6	COG2882	Flagellar biosynthesis chaperone FliJ	148
2710195448	439	59.44	6	434	12	438	0.0e+00	599	COG1157	Flagellar biosynthesis/type III secretory pathway ATPase	441
2710195449	257	24.4	49	249	19	225	2.0e-13	69.6	COG1317	Flagellar biosynthesis/type III secretory pathway protein FliH	234
2710195450	337	53.78	6	335	9	339	2.0e-95	342	COG1536	Flagellar motor switch protein FliG	339
2710195451	532	30	1	532	1	545	2.0e-95	343	COG1766	Flagellar biosynthesis/type III secretory pathway M-ring protein FliF/YscJ	545
2710195452	101	46.91	21	101	25	105	2.0e-16	77.7	COG1677	Flagellar hook-basal body complex protein FliE	105
2710195453	153	49.02	1	153	1	137	1.0e-41	162	COG1558	Flagellar basal body rod protein FlgC	137
2710195454	129	36.15	4	128	4	133	5.0e-23	99	COG1815	Flagellar basal body rod protein FlgB	133
2710195455	259	73.08	1	257	2	261	1.0e-108	385	COG4465	GTP-sensing pleiotropic transcriptional regulator CodY	261
2710195456	470	58.84	7	470	4	444	0.0e+00	633	COG1220	ATP-dependent protease HslVU (ClpYQ), ATPase subunit	444
2710195457	180	66.29	3	180	1	175	8.0e-74	269	COG5405	ATP-dependent protease HslVU (ClpYQ), peptidase subunit	178
2710195458	299	49.33	1	299	1	300	2.0e-97	348	COG4974	Site-specific recombinase XerD	300
2710195459	432	70.34	1	432	4	438	0.0e+00	750	COG1206	Folate-dependent tRNA-U54 methylase TrmFO/GidA	439
2710195460	691	52.67	3	573	1	566	0.0e+00	663	COG0550	DNA topoisomerase IA	570
2710195461	291	41.61	5	290	6	287	9.0e-73	267	COG0758	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake	350
2710195462	300	68.04	1	290	1	291	2.0e-124	438	COG0074	Succinyl-CoA synthetase, alpha subunit	293
2710195463	386	61.34	1	386	1	385	0.0e+00	537	COG0045	Succinyl-CoA synthetase, beta subunit	387
2710195464	93	51.09	1	92	1	92	7.0e-25	105	COG2257	Type III secretion system substrate exporter, FlhB-like	92
2710195466	260	55.85	75	257	2	189	2.0e-63	235	COG0164	Ribonuclease HII	199
2710195467	288	45.55	1	285	12	303	7.0e-78	283	COG1161	Ribosome biogenesis GTPase A	322
2710195468	179	36.6	10	153	9	161	3.0e-14	71.6	COG0681	Signal peptidase I	166
2710195469	114	73.21	3	114	4	115	2.0e-41	160	COG0335	Ribosomal protein L19	115
2710195470	245	59.09	2	242	1	240	7.0e-104	370	COG0336	tRNA G37 N-methylase TrmD	240
2710195471	177	47.06	8	176	5	173	3.0e-46	177	COG0806	Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing	174
2710195473	77	54.55	1	77	1	76	1.0e-19	87.9	COG1837	Predicted RNA-binding protein YlqC, contains KH domain, UPF0109 family	76
2710195474	90	64.37	2	87	1	87	9.0e-29	118	COG0228	Ribosomal protein S16	87
2710195475	447	62.83	2	446	1	451	0.0e+00	621	COG0541	Signal recognition particle GTPase	451
2710195476	110	64.84	2	92	1	91	2.0e-23	100	COG2739	Predicted DNA-binding protein YlxM, UPF0122 family	105
2710195477	328	53.82	1	321	1	340	4.0e-112	398	COG0552	Signal recognition particle GTPase	340
2710195478	1188	40.89	1	1186	1	1163	0.0e+00	746	COG1196	Chromosome segregation ATPase	1163
2710195479	248	50.43	14	244	3	232	1.0e-73	269	COG0571	dsRNA-specific ribonuclease	235
2710195480	77	57.89	1	76	3	78	4.0e-11	59.6	COG0236	Acyl carrier protein	80
2710195481	247	51.97	1	246	1	251	2.0e-60	225	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2710195482	314	53.11	1	303	1	304	2.0e-96	346	COG0331	Malonyl CoA-acyl carrier protein transacylase	310
2710195483	329	55.42	1	326	2	333	2.0e-123	435	COG0416	Fatty acid/phospholipid biosynthesis enzyme	338
2710195484	193	30.99	51	187	1	139	3.0e-16	78.5	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	141
2710195485	683	51.74	4	656	6	662	0.0e+00	861	COG1200	RecG-like helicase	677
2710195486	297	38.77	1	276	1	262	5.0e-72	264	COG1760	L-serine deaminase	262
2710195487	220	39.56	1	220	33	254	1.0e-55	209	COG1760	L-serine deaminase	262
2710195488	554	56.06	2	554	1	542	0.0e+00	648	COG1461	Predicted kinase related to dihydroxyacetone kinase	542
2710195489	120	46.28	1	120	1	119	4.0e-28	116	COG1302	Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family	131
2710195490	62	44.12	1	62	1	68	3.0e-11	60.3	COG0227	Ribosomal protein L28	77
2710195491	219	39.17	1	217	1	212	7.0e-53	200	COG1564	Thiamine pyrophosphokinase	212
2710195492	216	65.58	1	215	4	217	3.0e-89	321	COG0036	Pentose-5-phosphate-3-epimerase	220
2710195493	293	50.51	1	292	4	298	7.0e-105	373	COG1162	Putative ribosome biogenesis GTPase RsgA	301
2710195494	649	28	1	328	13	359	3.0e-42	166	COG0515	Serine/threonine protein kinase	384
2710195495	249	40.16	2	248	9	257	2.0e-62	232	COG0631	Serine/threonine protein phosphatase PrpC	262
2710195496	445	38.23	94	444	1	354	1.0e-88	320	COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	355
2710195497	316	47.52	1	302	1	302	3.0e-110	391	COG0223	Methionyl-tRNA formyltransferase	307
2710195498	160	43.9	1	159	1	164	2.0e-44	171	COG0242	Peptide deformylase	168
2710195499	807	41.58	1	806	1	730	0.0e+00	850	COG1198	Primosomal protein N' (replication factor Y) - superfamily II helicase	730
2710195500	414	52.01	6	402	1	388	2.0e-115	409	COG0452	Phosphopantothenoylcysteine synthetase/decarboxylase	392
2710195501	73	36.07	1	60	1	61	5.0e-09	53	COG1758	DNA-directed RNA polymerase, subunit K/omega	74
2710195502	204	53.19	4	191	3	188	9.0e-71	259	COG0194	Guanylate kinase	191
2710195503	90	79.78	1	89	1	89	6.0e-35	138	COG2052	Regulator of extracellular matrix RemA, YlzA/DUF370 family	89
2710195504	311	44.33	21	311	1	290	9.0e-78	283	COG1561	Uncharacterized conserved protein YicC, UPF0701 family	290
2710195505	893	44.37	1	892	21	914	0.0e+00	854	COG0474	Magnesium-transporting ATPase (P-type)	917
2710195506	567	40.28	1	566	3	561	0.0e+00	467	COG1293	Predicted component of the ribosome quality control (RQC) complex, YloA/Tae2 family, contains fibronectin-binding (FbpA) and DUF814 domains	564
2710195507	207	40.98	1	203	2	201	1.0e-50	192	COG0461	Orotate phosphoribosyltransferase	201
2710195508	236	44.07	1	235	10	237	3.0e-60	225	COG0284	Orotidine-5'-phosphate decarboxylase	240
2710195509	313	41.99	3	304	1	310	1.0e-85	310	COG0167	Dihydroorotate dehydrogenase	310
2710195510	257	30.12	7	257	10	252	2.0e-37	149	COG0543	NAD(P)H-flavin reductase	252
2710195511	1070	67.75	13	412	1	399	0.0e+00	584	COG0458	Carbamoylphosphate synthase large subunit	400
2710195512	363	61.96	1	358	2	368	0.0e+00	557	COG0505	Carbamoylphosphate synthase small subunit	368
2710195513	428	45.9	1	425	1	424	0.0e+00	475	COG0044	Dihydroorotase or related cyclic amidohydrolase	430
2710195514	293	42.86	1	290	6	311	1.0e-96	346	COG0540	Aspartate carbamoyltransferase, catalytic chain	316
2710195515	442	43.4	4	426	2	440	3.0e-95	342	COG2233	Xanthine/uracil permease	451
2710195516	181	67.04	3	181	2	179	2.0e-65	242	COG2065	Pyrimidine operon attenuation protein/uracil phosphoribosyltransferase	179
2710195517	303	51.03	8	290	6	289	2.0e-87	315	COG0564	Pseudouridylate synthase, 23S rRNA- or tRNA-specific	289
2710195518	164	42.48	2	152	12	164	2.0e-37	148	COG0597	Lipoprotein signal peptidase	167
2710195520	923	54.15	1	917	1	931	0.0e+00	1265	COG0060	Isoleucyl-tRNA synthetase	933
2710195521	171	38.01	4	168	7	175	1.0e-25	109	COG3599	Cell division septum initiation DivIVA, interacts with FtsZ, MinD and other proteins	212
2710195522	282	51.16	27	282	1	257	2.0e-79	289	COG2302	RNA-binding protein YlmH, contains S4-like domain	257
2710195523	87	46.34	7	87	13	94	2.0e-08	50.6	COG0762	Uncharacterized conserved protein YggT, Ycf19 family	96
2710195524	147	43.84	1	131	4	149	3.0e-32	130	COG1799	FtsZ-interacting cell division protein YlmF	167
2710195525	224	46.49	1	223	1	225	6.0e-74	270	COG0325	Uncharacterized pyridoxal phosphate-containing protein, affects Ilv metabolism, UPF0001 family	228
2710195526	273	33.2	19	272	6	249	2.0e-58	219	COG1496	Copper oxidase (laccase) domain	249
2710195527	95	25.61	1	82	5	85	3.0e-11	59.9	COG1873	Sporulation protein YlmC, PRC-barrel domain family	87
2710195528	258	36.95	14	258	1	245	2.0e-56	212	COG1191	DNA-directed RNA polymerase specialized sigma subunit	247
2710195529	239	38.65	34	237	1	246	3.0e-40	158	COG1191	DNA-directed RNA polymerase specialized sigma subunit	247
2710195531	387	59.39	1	329	1	329	6.0e-107	381	COG0206	Cell division GTPase FtsZ	338
2710195532	432	48.04	2	402	3	409	1.0e-118	420	COG0849	Cell division ATPase FtsA	418
2710195533	120	66.96	1	112	1	112	2.0e-39	153	COG3856	Small basic protein (function unknown)	113
2710195534	242	25.11	5	237	20	247	3.0e-31	128	COG3879	Uncharacterized conserved protein YlxW, UPF0749 family	247
2710195535	236	31.78	5	235	1	236	2.0e-47	182	COG3879	Uncharacterized conserved protein YlxW, UPF0749 family	247
2710195536	261	28.52	4	258	7	267	6.0e-33	134	COG1589	Cell division septal protein FtsQ	269
2710195537	366	47.68	3	365	9	373	1.0e-84	307	COG0772	Bacterial cell division protein FtsW, lipid II flippase	381
2710195538	449	45.78	3	449	1	446	0.0e+00	505	COG0771	UDP-N-acetylmuramoylalanine-D-glutamate ligase	448
2710195539	324	43.79	8	324	7	316	2.0e-57	216	COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	319
2710195541	486	45.05	21	486	8	475	4.0e-129	455	COG0769	UDP-N-acetylmuramyl tripeptide synthase	475
2710195542	639	37.23	1	569	5	598	0.0e+00	467	COG0768	Cell division protein FtsI/penicillin-binding protein 2	599
2710195543	735	33.39	2	600	8	599	3.0e-117	416	COG0768	Cell division protein FtsI/penicillin-binding protein 2	599
2710195544	122	35.96	8	121	6	119	3.0e-15	74.2	COG4839	Cell division protein FtsL	120
2710195545	311	56.77	1	310	4	312	0.0e+00	463	COG0275	16S rRNA C1402 N4-methylase RsmH	314
2710195546	143	52.05	1	143	1	146	5.0e-50	189	COG2001	MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity	146
2710195547	539	37.66	1	537	1	535	5.0e-125	441	COG4365	Uncharacterized protein YllA, UPF0747 family	537
2710195549	298	33.22	1	294	1	302	2.0e-48	186	COG1893	Ketopantoate reductase	307
2710195550	513	43.88	8	513	15	526	0.0e+00	577	COG4799	Acetyl-CoA carboxylase, carboxyltransferase component	526
2710195552	449	53.17	2	442	3	443	0.0e+00	589	COG4770	Acetyl/propionyl-CoA carboxylase, alpha subunit	645
2710195555	252	30.33	11	252	13	253	5.0e-40	157	COG1024	Enoyl-CoA hydratase/carnithine racemase	257
2710195556	57	57.89	1	57	1	57	7.0e-15	72.2	COG0333	Ribosomal protein L32	57
2710195557	180	30.94	2	176	3	176	1.0e-20	93.1	COG1399	Uncharacterized metal-binding protein YceD, DUF177 family	176
2710195558	407	36.01	4	362	1	356	1.0e-87	316	COG1323	Predicted nucleotidyltransferase	358
2710195559	347	45.69	2	346	3	342	1.0e-90	326	COG3480	Predicted secreted protein containing a PDZ domain	342
2710195560	259	35.31	4	257	10	295	5.0e-51	194	COG1752	Predicted acylesterase/phospholipase RssA, containd patatin domain	306
2710195561	406	26.23	3	400	3	418	2.0e-52	200	COG3314	Uncharacterized membrane protein YjiH, contains nucleoside recognition GATE domain	427
2710195562	161	60.38	1	159	1	159	4.0e-66	243	COG0669	Phosphopantetheine adenylyltransferase	159
2710195563	183	42.47	1	183	2	186	1.0e-52	199	COG0742	16S rRNA G966 N2-methylase RsmD	187
2710195567	91	50	1	90	2	90	3.0e-23	100	COG4471	Uncharacterized protein YlbG, UPF0298 family	90
2710195569	148	33.9	8	125	3	118	9.0e-22	96.1	COG3679	Cell fate regulator YlbF, YheA/YmcA/DUF963 family (controls sporulation, competence, biofilm development)	118
2710195573	162	37.38	55	160	33	139	2.0e-20	92.4	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	141
2710195574	347	30.45	132	342	5	207	5.0e-34	138	COG2340	Uncharacterized conserved protein YkwD, contains CAP (CSP/antigen 5/PR1) domain	207
2710195576	352	26.1	12	351	19	347	3.0e-20	93	COG0628	Predicted PurR-regulated permease PerM	355
2710195577	153	38.41	1	138	40	177	7.0e-27	113	COG2322	Uncharacterized membrane protein YozB, DUF420 family	177
2710195578	302	27.99	3	285	4	294	8.0e-41	160	COG3336	Cytochrome c oxidase assembly factor CtaG	299
2710195579	110	30.23	26	110	17	100	6.0e-12	62.9	COG3125	Heme/copper-type cytochrome/quinol oxidase, subunit 4	111
2710195580	209	45.92	13	208	18	209	1.0e-43	169	COG1845	Heme/copper-type cytochrome/quinol oxidase, subunit 3	209
2710195581	622	54.82	14	569	7	563	0.0e+00	585	COG0843	Heme/copper-type cytochrome/quinol oxidase, subunit 1	566
2710195582	358	38	10	259	1	232	6.0e-58	218	COG1622	Heme/copper-type cytochrome/quinol oxidase, subunit 2	247
2710195583	304	43.06	21	304	18	299	6.0e-75	274	COG0109	Polyprenyltransferase (heme O synthase)	304
2710195584	305	30.32	1	302	10	317	2.0e-50	192	COG1612	Heme A synthase	323
2710195585	1146	66.14	1	1145	4	1149	0.0e+00	1916	COG1038	Pyruvate carboxylase	1149
2710195586	405	38.96	1	384	6	381	3.0e-82	299	COG0772	Bacterial cell division protein FtsW, lipid II flippase	381
2710195587	93	75.82	3	93	2	92	9.0e-32	128	COG4838	Uncharacterized protein YlaN, UPF0358 family	92
2710195588	307	48.7	1	307	3	309	2.0e-114	406	COG2066	Glutaminase	309
2710195590	442	56.08	3	442	3	436	0.0e+00	545	COG1875	Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains	436
2710195593	66	43.86	1	57	1	57	4.0e-14	69.8	COG4896	Uncharacterized protein YlaI	68
2710195596	612	65.45	3	607	1	602	0.0e+00	1013	COG1217	Predicted membrane GTPase involved in stress response	603
2710195598	265	39.36	12	257	9	256	4.0e-66	244	COG0483	Archaeal fructose-1,6-bisphosphatase or related enzyme of inositol monophosphatase family	260
2710195600	206	54.41	1	204	1	204	1.0e-73	269	COG4493	Uncharacterized protein YktB, UPF0637 family	209
2710195601	90	63.1	1	84	1	84	9.0e-26	108	COG4476	Uncharacterized protein YktA, UPF0223 family	90
2710195602	318	43.58	1	318	1	333	8.0e-72	264	COG2070	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	336
2710195603	506	36.3	15	506	1	550	0.0e+00	496	COG1982	Arginine/lysine/ornithine decarboxylase	557
2710195605	279	33.33	82	268	57	249	7.0e-25	108	COG0726	Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	267
2710195608	469	52.86	8	457	3	454	0.0e+00	501	COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	454
2710195609	445	44.37	1	444	1	404	2.0e-116	412	COG0508	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component	404
2710195610	325	59.88	3	325	1	324	0.0e+00	488	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	324
2710195611	371	41.5	23	367	1	358	4.0e-109	388	COG1071	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	358
2710195613	184	37.28	2	169	1	153	1.0e-42	165	COG0242	Peptide deformylase	168
2710195614	256	32.06	1	256	2	263	9.0e-48	183	COG0561	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	264
2710195615	68	55.88	1	68	1	68	5.0e-15	72.7	COG5503	DNA-dependent RNA polymerase auxiliary subunit epsilon	69
2710195616	555	56.47	1	553	1	555	0.0e+00	714	COG0595	mRNA degradation ribonuclease J1/J2	555
2710195617	219	40.37	4	216	1	218	1.0e-47	182	COG0569	Trk K+ transport system, NAD-binding component	225
2710195618	337	22.09	1	335	5	343	2.0e-39	156	COG1294	Cytochrome bd-type quinol oxidase, subunit 2	346
2710195619	445	37.89	3	445	2	454	1.0e-111	396	COG1271	Cytochrome bd-type quinol oxidase, subunit 1	457
2710195620	607	42.58	29	601	1	565	0.0e+00	480	COG1132	ABC-type multidrug transport system, ATPase and permease component	567
2710195621	584	39.37	1	574	1	567	0.0e+00	503	COG1132	ABC-type multidrug transport system, ATPase and permease component	567
2710195622	151	18.6	2	127	2	127	4.0e-08	51.1	COG0526	Thiol-disulfide isomerase or thioredoxin	127
2710195623	180	50.56	5	180	4	181	9.0e-69	252	COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	194
2710195624	288	32.76	3	288	15	301	7.0e-41	161	COG0668	Small-conductance mechanosensitive channel	316
2710195625	372	43.78	9	368	17	385	2.0e-109	389	COG1473	Metal-dependent amidase/aminoacylase/carboxypeptidase	392
2710195626	235	34.32	3	235	1	271	7.0e-59	220	COG2171	Tetrahydrodipicolinate N-succinyltransferase	271
2710195627	292	25.08	1	288	1	291	1.0e-35	143	COG0583	DNA-binding transcriptional regulator, LysR family	297
2710195628	241	29.63	3	235	8	250	4.0e-12	65.4	COG0730	Uncharacterized membrane protein YfcA	258
2710195630	81	52.63	1	76	1	74	3.0e-16	76.9	COG4703	Uncharacterized protein YkuJ	74
2710195631	317	21.36	27	232	30	218	3.0e-16	79.5	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	252
2710195632	77	29.87	2	75	1	77	1.0e-08	51.1	COG0695	Glutaredoxin	80
2710195635	407	26.5	5	236	7	239	4.0e-30	126	COG2200	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	256
2710195636	255	37.01	1	248	2	250	5.0e-45	174	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2710195641	306	38.75	7	164	3	162	2.0e-32	132	COG0835	Chemotaxis signal transduction protein	165
2710195643	240	28.39	1	236	1	212	1.0e-47	183	COG0602	Organic radical activating enzyme	212
2710195644	144	32.58	13	140	1	127	2.0e-24	105	COG0720	6-pyruvoyl-tetrahydropterin synthase	127
2710195645	221	50.47	2	211	1	211	3.0e-79	287	COG0603	7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	222
2710195646	331	35.55	19	314	23	322	1.0e-57	217	COG0598	Mg2+ and Co2+ transporter CorA	322
2710195647	383	44.81	28	383	28	391	2.0e-106	379	COG0436	Aspartate/methionine/tyrosine aminotransferase	393
2710195649	573	59.75	5	571	3	571	0.0e+00	834	COG1080	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)	574
2710195650	88	50	1	88	1	88	1.0e-25	107	COG1925	Phosphotransferase system, HPr and related phosphotransfer proteins	88
2710195652	260	38.43	4	258	2	252	1.0e-53	203	COG0390	ABC-type iron transport system FetAB, permease component	256
2710195653	209	31.55	10	208	17	221	2.0e-32	132	COG1136	ABC-type lipoprotein export system, ATPase component	226
2710195655	397	18.36	14	371	7	348	3.0e-17	83.3	COG1721	Uncharacterized conserved protein, DUF58 family, contains vWF domain	416
2710195656	312	44.51	1	307	12	329	4.0e-65	241	COG0714	MoxR-like ATPase	329
2710195657	245	30.68	1	238	3	251	3.0e-46	178	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2710195661	59	74.14	1	58	21	78	2.0e-16	77.4	COG4873	Uncharacterized protein YkvS	81
2710195662	461	27.72	7	386	30	408	5.0e-59	222	COG4325	Uncharacterized membrane protein	464
2710195664	343	30.72	7	335	5	332	4.0e-47	182	COG3949	Uncharacterized membrane protein YkvI	349
2710195665	367	36.11	7	357	2	341	2.0e-84	306	COG1902	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	363
2710195666	468	71.58	1	467	2	468	0.0e+00	811	COG0362	6-phosphogluconate dehydrogenase	473
2710195667	417	42.02	10	359	1	354	6.0e-91	328	COG0389	Nucleotidyltransferase/DNA polymerase involved in DNA repair	354
2710195668	156	29.25	3	148	19	165	2.0e-18	85.7	COG0835	Chemotaxis signal transduction protein	165
2710195669	374	31.48	1	372	1	412	2.0e-76	279	COG2195	Di- or tripeptidase	414
2710195670	515	57.2	1	515	9	526	0.0e+00	693	COG4799	Acetyl-CoA carboxylase, carboxyltransferase component	526
2710195674	325	35.46	1	312	6	318	7.0e-72	264	COG4129	Uncharacterized membrane protein YgaE, UPF0421/DUF939 family	332
2710195675	238	69.04	1	238	2	240	5.0e-112	397	COG1126	ABC-type polar amino acid transport system, ATPase component	240
2710195676	219	48.54	11	216	14	219	9.0e-55	206	COG0765	ABC-type amino acid transport system, permease component	222
2710195677	258	36.33	1	258	2	267	3.0e-39	155	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	275
